ramadan_starts,ramadan_ends
11/28/00,12/28/00
11/17/01,12/17/01
11/6/02,12/6/02
10/27/03,11/26/03
10/16/04,11/15/04
10/5/05,11/4/05
9/24/06,10/24/06
9/13/07,10/13/07
9/2/08,10/2/08
8/22/09,9/21/09
8/11/10,9/10/10
8/1/11,8/31/11
7/20/12,8/19/12
7/9/13,8/8/13
6/29/14,7/29/14
6/18/15,7/18/15
